x y z u v depth
0.699635 -0.624263 0.642320 63.686674 24.494737 -0.855421
0.714155 -0.567541 0.933384 73.380013 36.523149 -0.935941
0.701935 -0.546180 1.041494 76.019737 41.037038 -0.966168
0.705084 -0.623136 0.585475 61.866424 22.147802 -0.851845
0.720167 -0.569172 0.856782 71.175898 33.641357 -0.927987
0.706879 -0.542657 0.986234 74.455123 39.145172 -0.965112
0.716960 -0.636774 0.473335 58.207673 16.579144 -0.828983
0.727837 -0.572656 0.790411 69.332597 30.955071 -0.919027
0.715869 -0.539630 0.934164 73.115356 37.215663 -0.963819
0.724153 -0.637879 0.431734 56.922105 14.557042 -0.824439
0.731918 -0.556016 0.809518 69.928958 32.025647 -0.937180
0.717510 -0.506532 1.019106 75.264965 40.667568 -1.003810
0.725833 -0.606802 0.517010 60.177352 19.527569 -0.862443
0.733455 -0.510312 0.933098 73.272407 37.360384 -0.992922
0.720251 -0.567773 0.619496 63.475681 25.270570 -0.909803
0.728203 -0.470720 1.031164 75.439097 41.438145 -1.040478
0.716789 -0.549493 0.638870 63.954332 26.779254 -0.929625
0.720279 -0.439787 1.104983 76.817587 44.399237 -1.077408
0.714267 -0.413144 1.148854 77.438581 46.214878 -1.107589
0.714534 -0.384252 1.197016 78.267509 47.911479 -1.140356
0.714220 -0.470572 0.785900 68.027040 34.258438 -1.020411
0.720960 -0.364084 1.210042 78.467472 48.327722 -1.161520
0.719158 -0.460726 0.773106 67.738825 33.972772 -1.029161
0.725462 -0.343764 1.226764 78.699669 48.876651 -1.183143
0.717295 -0.437002 0.817153 68.788507 35.985138 -1.056441
0.727765 -0.323791 1.241473 78.825768 49.405806 -1.204258
0.730260 -0.310664 1.224277 78.293202 49.036120 -1.215918
0.727550 -0.288484 1.240258 78.301766 49.723585 -1.239345
0.774560 -0.122014 1.212490 76.749611 49.490471 -1.402884
0.783564 -0.124864 1.159844 75.878651 48.104198 -1.395687
0.782294 -0.090339 1.204836 76.421134 49.426474 -1.433808
